"2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04"
"2061.5","2197.5","2067.0","2212.0","2052.5","1941.5","2019.5","1998.5","1799.0","1903.0","1863.5","1897.0"
"733.9","745.6","728.0","749.0","715.7","648.0","703.3","748.0","926.2","948.5","955.4","861.0"
"11450.0","12370.0","10810.0","11320.0","11000.0","9509.0","10050.0","11325.0","10165.0","11470.0","11435.0","12030.0"
"58700.0","58350.0","42660.0","46600.0","42680.0","37340.0","39700.0","46900.0","38410.0","46130.0","47570.0","15710.0"
"4389.0","4473.0","3820.0","4061.0","4400.0","4046.0","4221.0","4543.0","4214.0","4363.0","4774.0","4803.0"
"6624.0","6796.0","6337.0","6614.0","6961.0","6254.0","7019.0","7322.0","6554.0","6706.0","6979.0","7359.0"
"49500.0","51630.0","45610.0","54770.0","51730.0","48430.0","58260.0","58390.0","50340.0","59580.0","59230.0","63680.0"
"3895.0","4001.0","4015.0","4162.0","4192.0","4022.0","4191.0","4626.0","5375.0","5679.0","5923.0","5364.0"
"3125.0","3283.0","2829.5","3024.0","3174.0","3117.0","3479.0","3929.0","3744.0","3864.0","3963.0","4095.0"
"17915.0","18580.0","15410.0","17445.0","16095.0","14950.0","15625.0","17850.0","15815.0","19255.0","19075.0","4182.0"
"4924.0","4617.0","3880.0","5036.0","4453.0","4239.0","4650.0","4400.0","4180.0","4259.0","3672.0","3733.0"
"3911.0","3980.0","3885.0","3801.0","3742.0","3837.0","4062.0","3819.0","3762.0","3886.0","3926.0","3965.0"
"3654.0","3751.0","3693.0","3950.0","3686.0","3562.0","3982.0","4262.0","4025.0","4176.0","4120.0","4306.0"
"59810.0","58420.0","57360.0","58930.0","57110.0","5820.0","6075.0","5808.0","5487.0","5580.0","5122.0","5173.0"
"7300.0","7629.0","7859.0","7831.0","7598.0","2560.0","2722.0","2802.5","2833.5","2751.0","2891.0","2577.5"
"3397.0","3252.0","3376.0","3423.0","4172.0","4106.0","4830.0","4597.0","4005.0","4094.0","4220.0","4830.0"
"3205.0","3324.0","3193.0","3476.0","3655.0","3210.0","3400.0","3334.0","3042.0","3238.0","3579.0","3557.0"
"1533.5","1546.0","1542.5","1593.5","1587.5","1556.5","1600.0","1677.5","1912.5","2039.5","2124.0","1916.5"
"5276.0","5300.0","5131.0","5504.0","5510.0","4981.0","6574.0","6047.0","5640.0","6254.0","5520.0","5218.0"
"3810.0","3714.0","3759.0","3808.0","3837.0","3726.0","3939.0","4033.0","4031.0","4075.0","4180.0","4350.0"
"13405.0","13745.0","11610.0","13800.0","14135.0","13890.0","13705.0","14270.0","12465.0","13785.0","13225.0","14760.0"
"4548.0","4536.0","4313.0","4220.0","4257.0","4187.0","4389.0","4082.0","4008.0","4038.0","3988.0","4108.0"
"1426.0","1446.0","1447.5","1395.0","1386.0","1306.5","1310.0","1373.5","1312.5","1424.5","1547.5","1587.0"
"1490.0","1481.5","1506.5","1533.5","1525.5","1440.5","1470.5","1475.0","1499.0","1485.5","1530.0","1526.5"
"1834.0","1895.5","1844.0","1900.0","1920.0","1825.0","1976.0","2237.5","2167.5","2328.0","2360.5","2370.5"
"8247.0","8363.0","7184.0","7791.0","7369.0","6790.0","7185.0","7582.0","6511.0","7397.0","7377.0","8028.0"
"19780.0","21060.0","21660.0","23720.0","24085.0","22920.0","22515.0","22725.0","19925.0","22445.0","23330.0","23355.0"
"2281.5","2367.5","2290.5","2331.0","2372.0","2356.5","2698.0","2810.5","2607.0","2650.5","2756.0","2795.0"
"66660.0","67860.0","59250.0","67320.0","65420.0","59790.0","61780.0","63080.0","55350.0","65820.0","70860.0","69030.0"
"4839.0","5150.0","4838.0","5060.0","5253.0","4846.0","5266.0","5329.0","5041.0","5072.0","5006.0","5025.0"
"1351.0","1385.5","1192.0","1272.0","1390.5","1283.5","1366.0","1544.5","1484.5","1603.0","1789.0","1809.0"
"60450.0","61610.0","68240.0","80020.0","80760.0","76320.0","83050.0","82780.0","79530.0","77990.0","26600.0","29665.0"
"18715.0","19340.0","18370.0","21000.0","20435.0","19340.0","20140.0","19700.0","18730.0","21560.0","21700.0","4512.0"
"19740.0","19575.0","16890.0","17290.0","16155.0","15875.0","17265.0","18685.0","17500.0","18505.0","17430.0","18250.0"
"20950.0","21305.0","21055.0","23120.0","22415.0","20450.0","19980.0","20565.0","19855.0","22800.0","23655.0","4793.0"
"3151.0","3320.0","2968.0","2978.5","2884.5","2675.0","2985.0","3149.0","2819.0","3128.0","3356.0","3300.0"
"33400.0","34800.0","30600.0","32900.0","33150.0","33150.0","35850.0","40900.0","36950.0","39300.0","43600.0","14730.0"
"7606.0","8105.0","6985.0","7573.0","7332.0","6876.0","7349.0","7522.0","6445.0","7001.0","7326.0","7480.0"
"5255.0","5483.0","5252.0","5431.0","5426.0","5559.0","5592.0","5551.0","5540.0","6090.0","6062.0","6012.0"
"2676.5","2842.5","2907.5","2966.0","2822.5","2769.5","2857.0","2698.0","2374.0","2423.0","2553.0","2506.5"
"3204.0","3308.0","3104.0","3139.0","3247.0","3179.0","3179.0","3166.0","2810.5","2869.0","2954.5","2979.5"
"4975.0","5169.0","4745.0","5341.0","5234.0","4786.0","5361.0","5143.0","4639.0","4829.0","5237.0","5323.0"
"2361.0","2487.0","2241.5","2392.5","2255.5","2054.5","2173.0","2215.0","2111.5","2267.5","2445.0","2222.0"
"6983.0","7079.0","7375.0","7595.0","7078.0","6811.0","6811.0","7314.0","6578.0","6790.0","6344.0","6758.0"
"4000.0","4174.0","4192.0","4376.0","4083.0","3858.0","3948.0","3995.0","4238.0","4202.0","4508.0","4144.0"
"1834.5","1935.5","1960.0","1985.5","1870.0","1900.0","1860.5","1880.5","1685.0","1665.0","1666.0","1608.0"
"938.5","960.2","971.0","959.3","960.8","958.0","1003.5","1048.5","1114.5","1143.0","1225.5","1090.0"
"1000.0","994.0","1048.0","1070.0","1009.0","1002.0","990.0","1031.0","1130.0","1158.0","1222.0","1101.0"
"2561.5","2701.0","2476.0","2333.0","2356.5","2281.5","2366.5","2487.0","3052.0","3062.0","2906.0","2467.5"
"1493.0","1555.0","1195.0","1283.0","1293.0","1247.0","1259.0","1362.5","1170.5","1357.0","1754.0","1899.0"
"1153.5","1193.0","1080.0","1118.0","1126.5","1025.0","1142.5","1280.0","1091.5","1192.5","1178.0","1214.5"
"8406.0","8733.0","8159.0","9444.0","9008.0","8200.0","8141.0","8763.0","6693.0","7162.0","6884.0","6870.0"
"2124.5","2225.5","1899.5","2003.5","2236.5","2026.0","2080.0","2194.0","2232.5","2719.0","3095.0","3119.0"
"6676.0","6755.0","6806.0","7070.0","7172.0","7285.0","7895.0","7728.0","7437.0","7020.0","6891.0","7460.0"
"17790.0","18535.0","15525.0","18785.0","18790.0","15170.0","21385.0","26450.0","21150.0","22020.0","21870.0","22710.0"
"3613.0","3550.0","3476.0","3796.0","3544.0","3670.0","3451.0","3656.0","3300.0","3325.0","3323.0","3250.0"
"5190.0","5280.0","5220.0","4900.0","4995.0","4660.0","4790.0","4825.0","4575.0","4840.0","4825.0","5150.0"
"4102.0","4075.0","4013.0","4513.0","4488.0","4179.0","4505.0","4089.0","3607.0","3746.0","3600.0","3623.0"
"490.2","513.6","493.7","509.0","499.9","475.0","483.2","499.5","490.0","511.0","563.6","514.6"
"5151.0","5365.0","5408.0","5749.0","6029.0","5706.0","5602.0","5459.0","5143.0","5174.0","5030.0","5234.0"
"8720.0","8920.0","7060.0","8140.0","7680.0","7020.0","7870.0","9530.0","8270.0","9570.0","11060.0","11640.0"
"4503.0","4382.0","4769.0","4738.0","4526.0","4586.0","4630.0","4665.0","4129.0","4153.0","4122.0","4215.0"
"16615.0","16240.0","15400.0","15930.0","16340.0","16350.0","16880.0","16410.0","16100.0","15520.0","15150.0","16080.0"
"5471.0","5929.0","5966.0","5983.0","5832.0","5749.0","6216.0","5828.0","5833.0","5618.0","5865.0","5297.0"
"3187.0","3063.0","3319.0","3723.0","3851.0","3926.0","4117.0","4501.0","3948.0","4117.0","4392.0","4682.0"
"3775.0","3951.0","4165.0","4400.0","4912.0","4596.0","5018.0","4868.0","4132.0","4834.0","4846.0","4857.0"
"2240.5","2412.5","1981.0","2259.5","2141.5","2043.0","2118.5","2053.5","1780.0","1923.5","2056.0","2013.5"
"1993.0","2103.0","2058.5","2062.5","1991.5","1922.0","2090.5","2127.0","1931.0","1902.0","1911.0","1878.5"
"2701.5","2679.0","2686.5","2797.0","2966.5","2839.5","3124.0","2787.5","2318.0","2439.0","2266.5","2370.0"
"8310.0","8590.0","8010.0","7960.0","7650.0","7190.0","7660.0","7780.0","7150.0","7870.0","8170.0","7400.0"
"10240.0","10880.0","9130.0","10720.0","10370.0","2599.0","2654.0","3077.0","2907.5","3175.0","3473.0","3073.0"
"4235.0","4416.0","4406.0","4652.0","4663.0","4475.0","4171.0","4375.0","4052.0","4273.0","4809.0","4961.0"
"3208.0","3147.0","3137.0","3319.0","3109.0","2944.0","2992.5","3130.0","3007.0","3096.0","3115.0","3160.0"
"7174.0","7348.0","7022.0","7318.0","7624.0","7413.0","6884.0","7005.0","6512.0","6709.0","6726.0","6887.0"
"2317.0","2376.5","2332.5","2732.0","2660.5","2672.0","2772.5","2803.5","2752.0","2648.5","2507.0","2578.5"
"3864.0","3977.0","4174.0","4389.0","4336.0","4109.0","4273.0","4311.0","4681.0","4714.0","5088.0","4632.0"
"516.0","525.0","512.9","514.6","514.2","475.8","495.5","465.0","440.0","464.0","477.8","480.3"
"8467.0","8619.0","8308.0","8908.0","8792.0","8359.0","8445.0","8387.0","7492.0","7645.0","7874.0","8216.0"
