"2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03"
"1897.0","1874.0","1943.0","2325.5","2445.5","2519.5","2687.0","2712.0","2833.0","2635.0","2945.0","3680.0"
"861.0","869.3","963.9","1085.5","1133.0","1183.0","1288.0","1292.5","1273.0","1225.0","1389.0","1570.5"
"12030.0","12595.0","13410.0","13330.0","13480.0","12535.0","12205.0","12795.0","12720.0","13095.0","14390.0","13215.0"
"15710.0","15500.0","19735.0","21370.0","21845.0","21435.0","20180.0","20390.0","23850.0","24005.0","27640.0","38380.0"
"4803.0","5050.0","5777.0","7106.0","7306.0","7335.0","7126.0","7195.0","6977.0","2287.5","2561.5","3268.0"
"7359.0","7780.0","8037.0","9051.0","9589.0","9919.0","9298.0","9642.0","10455.0","10170.0","11785.0","12940.0"
"63680.0","62840.0","68430.0","69620.0","61520.0","60600.0","55520.0","59410.0","62660.0","60590.0","66520.0","70930.0"
"5364.0","5652.0","5712.0","6207.0","6536.0","6790.0","7400.0","7449.0","7336.0","6980.0","7639.0","8450.0"
"4095.0","4317.0","4486.0","5529.0","5669.0","5500.0","5391.0","5478.0","5445.0","5405.0","6062.0","6713.0"
"4182.0","3969.0","4306.0","4964.0","4675.0","4645.0","4362.0","4616.0","5199.0","5725.0","5810.0","6584.0"
"3733.0","3828.0","4330.0","4597.0","4955.0","5330.0","4590.0","4476.0","5469.0","5789.0","5927.0","6261.0"
"3965.0","4180.0","3991.0","171.2","162.3","168.6","175.0","178.3","173.2","172.7","187.2","180.7"
"4306.0","4549.0","4787.0","5803.0","5753.0","5617.0","5378.0","5554.0","5889.0","5817.0","6747.0","6606.0"
"5173.0","5691.0","5954.0","6587.0","6459.0","6268.0","6130.0","6310.0","6909.0","7176.0","8310.0","8484.0"
"2577.5","2736.5","3089.0","3345.0","3250.0","3263.0","3392.0","3420.0","3670.0","3509.0","3884.0","4448.0"
"4830.0","4605.0","4638.0","4578.0","4437.0","4287.0","4054.0","4068.0","4111.0","4012.0","4650.0","4997.0"
"3557.0","3621.0","3978.0","4436.0","4592.0","4720.0","1688.5","1568.5","1529.5","1497.0","1644.5","1805.5"
"1916.5","2002.0","2073.0","2203.5","2424.5","2450.0","2567.0","2640.0","2525.0","2456.5","2670.5","2838.5"
"5218.0","5163.0","5725.0","6834.0","7250.0","6500.0","6250.0","6187.0","5920.0","6050.0","6399.0","8907.0"
"4350.0","4546.0","4417.0","4547.0","4415.0","4510.0","4576.0","4123.0","4171.0","4225.0","4306.0","4389.0"
"14760.0","14500.0","17845.0","17305.0","16850.0","16235.0","15160.0","15120.0","16465.0","16995.0","18550.0","19935.0"
"4108.0","4276.0","4344.0","4441.0","4229.0","4351.0","4508.0","4537.0","4587.0","4547.0","4897.0","4553.0"
"1587.0","1752.5","1848.5","2044.0","1920.5","1893.5","1835.5","1921.0","2055.5","2015.0","2159.5","2431.5"
"1526.5","1536.5","1500.0","1542.0","1579.5","1670.5","1679.0","1707.5","1801.0","1787.0","1976.0","1970.5"
"2370.5","2476.5","2673.0","3080.0","3059.0","3044.0","2965.0","3010.0","3164.0","3136.0","3393.0","3553.0"
"8028.0","7793.0","8222.0","8409.0","8689.0","8156.0","2732.0","2747.0","2847.5","2908.0","2999.5","3029.0"
"23355.0","25155.0","27320.0","31240.0","28835.0","25575.0","23650.0","22275.0","21955.0","23000.0","23345.0","21375.0"
"2795.0","2951.5","3061.0","3149.0","3105.0","3202.0","3449.0","3662.0","3851.0","3709.0","3903.0","3879.0"
"69030.0","69410.0","75600.0","81500.0","74090.0","71740.0","68220.0","71640.0","74010.0","75410.0","82280.0","91450.0"
"5025.0","5236.0","5919.0","6839.0","6843.0","8330.0","8170.0","8086.0","8424.0","8371.0","9829.0","11940.0"
"1809.0","1939.5","2008.0","2483.5","2508.0","2419.5","2331.0","2249.0","2369.0","2278.0","2530.5","2505.0"
"29665.0","32100.0","32730.0","36890.0","35930.0","33330.0","32470.0","33810.0","37100.0","34550.0","39030.0","44370.0"
"4512.0","4890.0","5213.0","5694.0","5405.0","5255.0","4941.0","5062.0","5074.0","5152.0","5500.0","5389.0"
"18250.0","18765.0","18875.0","18665.0","18140.0","18365.0","17560.0","19625.0","21100.0","21445.0","21080.0","23690.0"
"4793.0","4667.0","4742.0","5145.0","4220.0","4157.0","3953.0","3806.0","4102.0","4138.0","4003.0","4450.0"
"3300.0","3428.0","3300.0","3959.0","4049.0","4209.0","4039.0","3496.0","3777.0","3750.0","4134.0","4395.0"
"14730.0","15500.0","20580.0","23570.0","27720.0","28075.0","28140.0","26140.0","31630.0","33630.0","40000.0","50090.0"
"7480.0","8147.0","8663.0","9668.0","10070.0","9974.0","2404.5","2360.0","2332.5","2166.5","2295.0","2768.5"
"6012.0","6285.0","5948.0","6217.0","5944.0","5993.0","5775.0","5500.0","5787.0","5645.0","5873.0","2189.5"
"2506.5","2678.5","2672.5","2904.0","2926.0","3249.0","3278.0","3345.0","3495.0","3439.0","3667.0","4144.0"
"2979.5","3205.0","3500.0","3840.0","3712.0","3597.0","3582.0","3625.0","3854.0","3667.0","4034.0","4387.0"
"5323.0","5476.0","5606.0","5937.0","5952.0","5662.0","5840.0","5814.0","6115.0","5895.0","6334.0","6452.0"
"2222.0","2328.5","2383.5","2654.5","2742.5","2751.5","2760.5","2806.0","2714.5","2688.5","2816.5","3167.0"
"6758.0","7125.0","8582.0","8704.0","8300.0","8626.0","8649.0","8339.0","8685.0","8543.0","9349.0","9765.0"
"4144.0","4501.0","4825.0","5183.0","5304.0","5330.0","5459.0","5624.0","5582.0","5593.0","6068.0","7507.0"
"1608.0","1662.5","1623.5","1740.0","1745.0","1885.0","1939.5","1953.5","1988.0","1933.0","2016.0","2397.0"
"1090.0","1126.0","991.7","1041.5","1036.0","1124.5","1231.0","1352.5","1304.5","1291.5","1405.0","1487.0"
"1101.0","1086.0","1038.0","1122.0","1158.5","1175.5","1311.5","1415.0","1466.5","1437.0","1530.0","1636.0"
"2467.5","2531.5","2449.5","2752.5","2878.0","2733.0","3125.0","3268.0","3151.0","3048.0","3144.0","3506.0"
"1899.0","1783.5","2380.0","2800.0","2742.5","2465.0","2280.0","2014.5","2562.5","2494.5","2403.5","2589.0"
"1214.5","1302.0","1463.5","1794.5","1738.5","1723.0","1680.0","1339.0","1508.5","1436.0","1382.0","1466.5"
"6870.0","6812.0","6974.0","7900.0","8461.0","7618.0","6894.0","5533.0","5551.0","5722.0","5424.0","5716.0"
"3119.0","2901.5","2756.5","3020.0","3291.0","3506.0","3500.0","3318.0","3479.0","3314.0","3546.0","3784.0"
"7460.0","7943.0","7693.0","8011.0","8139.0","8285.0","8300.0","8037.0","7972.0","8242.0","8797.0","8914.0"
"22710.0","17795.0","22150.0","22530.0","22070.0","22800.0","23655.0","27180.0","34040.0","35220.0","37780.0","40800.0"
"3250.0","3542.0","3812.0","4124.0","4348.0","4415.0","4534.0","4626.0","5209.0","5380.0","5310.0","6109.0"
"5150.0","5950.0","6650.0","7066.0","7175.0","7771.0","8174.0","7033.0","8357.0","8470.0","9583.0","10335.0"
"3623.0","4107.0","4301.0","4574.0","4680.0","4423.0","3903.0","4179.0","4700.0","4691.0","5015.0","5924.0"
"514.6","489.6","493.3","558.8","592.5","578.4","599.8","596.5","605.3","642.5","808.8","871.1"
"5234.0","5529.0","4936.0","5309.0","5415.0","5674.0","5529.0","5599.0","5715.0","5844.0","5830.0","5706.0"
"11640.0","10760.0","17990.0","20285.0","20310.0","18250.0","4301.0","3590.0","4622.0","4615.0","5943.0","7119.0"
"4215.0","4663.0","5245.0","5290.0","5344.0","5529.0","5240.0","5330.0","5724.0","5491.0","5737.0","6054.0"
"16080.0","17085.0","16965.0","18170.0","18285.0","18720.0","3568.0","3472.0","3526.0","3640.0","3655.0","3767.0"
"5297.0","5717.0","5805.0","6547.0","6258.0","6451.0","6347.0","6596.0","6835.0","6995.0","7650.0","8929.0"
"4682.0","4951.0","5476.0","5769.0","5599.0","6132.0","5719.0","5589.0","5533.0","5496.0","6012.0","5555.0"
