"2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"2235.5","2122.5","2100.0","2137.0","2101.5","1876.0","2059.5","2010.5","1812.5","1896.5","1862.5","1880.0"
"754.3","729.7","729.4","745.4","721.1","651.5","699.5","755.1","889.0","952.7","965.1","847.9"
"11220.0","12115.0","11095.0","11695.0","11135.0","9286.0","9988.0","11255.0","10035.0","11580.0","11430.0","11985.0"
"55480.0","58980.0","44300.0","46010.0","44160.0","35700.0","39490.0","45090.0","38880.0","45170.0","46710.0","16040.0"
"4383.0","4433.0","4037.0","3948.0","4564.0","3968.0","4031.0","4605.0","4283.0","4336.0","4629.0","4751.0"
"6072.0","6725.0","6438.0","6704.0","6996.0","6114.0","6760.0","7299.0","6691.0","6782.0","6890.0","7252.0"
"52850.0","51590.0","46380.0","52430.0","52840.0","47900.0","56320.0","57140.0","51420.0","59280.0","58890.0","64450.0"
"3915.0","3922.0","4032.0","4107.0","4194.0","4024.0","4173.0","4673.0","5296.0","5652.0","5972.0","5298.0"
"3150.0","3232.0","2994.5","2925.5","3266.0","3089.0","3293.0","3983.0","3853.0","3820.0","3824.0","4116.0"
"17985.0","18335.0","15300.0","16960.0","16315.0","14330.0","15540.0","17570.0","16225.0","19075.0","19150.0","4275.0"
"4818.0","4734.0","3995.0","4953.0","4483.0","4161.0","4590.0","4329.0","4177.0","4144.0","3704.0","3650.0"
"3847.0","3911.0","3896.0","3807.0","3769.0","3906.0","4094.0","3820.0","3762.0","3892.0","3947.0","3962.0"
"3932.0","3695.0","3667.0","3866.0","3843.0","3501.0","3849.0","4287.0","4146.0","4183.0","4069.0","4301.0"
"59910.0","57420.0","58680.0","59710.0","56990.0","5854.0","6070.0","5894.0","5532.0","5625.0","5124.0","5131.0"
"7019.0","7466.0","7903.0","7764.0","7792.0","2565.0","2691.0","2827.0","2827.5","2714.0","2890.5","2547.0"
"3262.0","3419.0","3437.0","3523.0","4197.0","4042.0","4767.0","4518.0","4250.0","4064.0","4283.0","4822.0"
"3419.0","3187.0","3293.0","3388.0","3724.0","3137.0","3373.0","3356.0","3032.0","3207.0","3542.0","3510.0"
"1578.5","1519.0","1543.0","1583.5","1593.5","1562.5","1606.0","1717.0","1856.0","2027.5","2122.5","1878.0"
"5269.0","5379.0","5235.0","5605.0","5562.0","4900.0","6400.0","5952.0","5644.0","6144.0","5517.0","5182.0"
"3769.0","3703.0","3818.0","3925.0","3850.0","3767.0","3918.0","4050.0","4111.0","4090.0","4212.0","4350.0"
"12990.0","13810.0","11585.0","13270.0","14250.0","13880.0","13875.0","14060.0","12705.0","14200.0","13470.0","14560.0"
"4335.0","4486.0","4289.0","4292.0","4277.0","4243.0","4395.0","4111.0","3982.0","4059.0","3986.0","4093.0"
"1368.0","1416.0","1451.0","1404.0","1418.5","1304.5","1310.0","1377.5","1313.5","1426.0","1533.0","1578.5"
"1515.0","1480.0","1506.5","1538.5","1529.5","1446.5","1465.5","1497.5","1488.0","1486.5","1537.5","1529.0"
"2061.5","1850.0","1857.0","1864.5","1965.0","1802.5","1895.5","2247.0","2196.0","2323.0","2323.0","2341.0"
"7794.0","8300.0","7396.0","7747.0","7554.0","6632.0","7300.0","7464.0","6588.0","7394.0","7320.0","8040.0"
"20045.0","20685.0","21750.0","23250.0","24485.0","22295.0","22385.0","22405.0","20200.0","22470.0","23345.0","23655.0"
"2223.5","2340.5","2346.0","2387.5","2360.0","2374.0","2464.0","2815.5","2661.0","2655.0","2769.5","2798.0"
"63050.0","66610.0","60470.0","65410.0","66600.0","58220.0","60120.0","61760.0","55580.0","65350.0","69100.0","69830.0"
"4435.0","4890.0","4745.0","4921.0","5374.0","4806.0","5120.0","5457.0","5234.0","5080.0","5015.0","4876.0"
"1422.5","1353.5","1224.0","1233.0","1452.0","1268.0","1303.0","1548.0","1515.0","1586.5","1740.0","1795.5"
"60160.0","61950.0","71080.0","80200.0","81950.0","76710.0","82990.0","80810.0","80530.0","78420.0","26900.0","28880.0"
